34.6	40388.6
34.7	40416.4
34.8	40444.2
34.9	40472
35	40500
35.1	40528
35.2	40556.2
35.3	40584.4
35.4	40612.6
35.5	40641
35.6	40669.4
35.7	40698
35.8	40726.6
35.9	40755.2
36	40784
36.1	40812.8
36.2	40841.8
36.3	40870.8
36.4	40899.8
36.5	40929
36.6	40958.2
36.7	40987.6
36.8	41017
36.9	41046.4
37	41076
37.1	41105.6
37.2	41135.4
37.3	41165.2
37.4	41195
37.5	41225
37.6	41255
37.7	41285.2
37.8	41315.4
37.9	41345.6
38	41376
38.1	41406.4
38.2	41437
38.3	41467.6
38.4	41498.2
38.5	41529
38.6	41559.8
38.7	41590.8
38.8	41621.8
38.9	41652.8
39	41684
39.1	41715.2
39.2	41746.6
39.3	41778
39.4	41809.4
39.5	41841
39.6	41872.6
39.7	41904.4
39.8	41936.2
39.9	41968
40	42000
40.1	42032
40.2	42064.2
40.3	42096.4
40.4	42128.6
40.5	42161
40.6	42193.4
40.7	42226
40.8	42258.6
40.9	42291.2
41	42324
41.1	42356.8
41.2	42389.8
41.3	42422.8
41.4	42455.8
41.5	42489
41.6	42522.2
41.7	42555.6
41.8	42589
41.9	42622.4
42	42656
42.1	42689.6
42.2	42723.4
42.3	42757.2
42.4	42791
42.5	42825
42.6	42859
42.7	42893.2
42.8	42927.4
42.9	42961.6
43	42996
43.1	43030.4
43.2	43065
43.3	43099.6
43.4	43134.2
43.5	43169
43.6	43203.8
43.7	43238.8
43.8	43273.8
43.9	43308.8
44	43344
44.1	43379.2
44.2	43414.6
44.3	43450
44.4	43485.4
44.5	43521
44.6	43556.6
44.7	43592.4
44.8	43628.2
44.9	43664
45	43700
45.1	43736
45.2	43772.2
45.3	43808.4
45.4	43844.6
45.5	43881
45.6	43917.4
45.7	43954
45.8	43990.6
45.9	44027.2
46	44064
46.1	44100.8
46.2	44137.8
46.3	44174.8
46.4	44211.8
46.5	44249
46.6	44286.2
46.7	44323.6
46.8	44361
46.9	44398.4
47	44436
47.1	44473.6
47.2	44511.4
47.3	44549.2
47.4	44587
47.5	44625
47.6	44663
47.7	44701.2
47.8	44739.4
47.9	44777.6
48	44816
48.1	44854.4
48.2	44893
48.3	44931.6
48.4	44970.2
48.5	45009
48.6	45047.8
48.7	45086.8
48.8	45125.8
48.9	45164.8
49	45204
49.1	45243.2
49.2	45282.6
49.3	45322
49.4	45361.4
49.5	45401
49.6	45440.6
49.7	45480.4
49.8	45520.2
49.9	45560
50	45600
50.1	45568
50.2	45536.2
50.3	45504.4
50.4	45472.6
50.5	45441
50.6	45409.4
50.7	45378
50.8	45346.6
50.9	45315.2
51	45284
51.1	45252.8
51.2	45221.8
51.3	45190.8
51.4	45159.8
51.5	45129
51.6	45098.2
51.7	45067.6
51.8	45037
51.9	45006.4
52	44976
52.1	44945.6
52.2	44915.4
52.3	44885.2
52.4	44855
52.5	44825
52.6	44795
52.7	44765.2
52.8	44735.4
52.9	44705.6
53	44676
53.1	44646.4
53.2	44617
53.3	44587.6
53.4	44558.2
53.5	44529
53.6	44499.8
53.7	44470.8
53.8	44441.8
53.9	44412.8
54	44384
54.1	44355.2
54.2	44326.6
54.3	44298
54.4	44269.4
54.5	44241
54.6	44212.6
54.7	44184.4
54.8	44156.2
54.9	44128
55	44100
55.1	44072
55.2	44044.2
55.3	44016.4
55.4	43988.6
55.5	43961
55.6	43933.4
55.7	43906
55.8	43878.6
55.9	43851.2
56	43824
56.1	43796.8
56.2	43769.8
56.3	43742.8
56.4	43715.8
56.5	43689
56.6	43662.2
56.7	43635.6
56.8	43609
56.9	43582.4
57	43556
57.1	43529.6
57.2	43503.4
57.3	43477.2
57.4	43451
57.5	43425
57.6	43399
57.7	43373.2
57.8	43347.4
57.9	43321.6
58	43296
58.1	43270.4
58.2	43245
58.3	43219.6
58.4	43194.2
58.5	43169
58.6	43143.8
58.7	43118.8
58.8	43093.8
58.9	43068.8
59	43044
59.1	43019.2
59.2	42994.6
59.3	42970
59.4	42945.4
59.5	42921
59.6	42896.6
59.7	42872.4
59.8	42848.2
59.9	42824
60	42800
60.1	42776
60.2	42752.2
60.3	42728.4
60.4	42704.6
60.5	42681
60.6	42657.4
60.7	42634
60.8	42610.6
60.9	42587.2
61	42564
61.1	42540.8
61.2	42517.8
61.3	42494.8
61.4	42471.8
61.5	42449
61.6	42426.2
61.7	42403.6
61.8	42381
61.9	42358.4
62	42336
62.1	42313.6
62.2	42291.4
62.3	42269.2
62.4	42247
62.5	42225
62.6	42203
62.7	42181.2
62.8	42159.4
62.9	42137.6
63	42116
63.1	42094.4
63.2	42073
63.3	42051.6
63.4	42030.2
63.5	42009
63.6	41987.8
63.7	41966.8
63.8	41945.8
63.9	41924.8
64	41904
64.1	41883.2
64.2	41862.6
64.3	41842
