22	0.695084	0.696314
65	2.2582	2.35142
1	0.0315488	0.0315488
59	1.95771	2.05751
15	0.477771	0.477914
47	1.49606	1.5462
53	1.70638	1.78287
95	5.48976	5.05509
8	0.254758	0.254764
29	0.917346	0.92263
77	3.12769	3.12602
71	2.63623	2.70281
83	3.75676	3.65061
35	1.10395	1.11774
89	4.54756	4.30083
41	1.29851	1.32454
23	0.727105	0.728446
2	0.0634909	0.0634911
66	2.30203	2.39189
60	1.99678	2.09334
16	0.506932	0.507062
48	1.52647	1.58442
96	5.73314	5.24516
54	1.73456	1.81281
98	6.13653	5.56591
9	0.284321	0.284322
78	3.20205	3.20071
72	2.70986	2.76361
30	0.951413	0.956554
84	3.85448	3.74677
90	4.68171	4.4126
36	1.13302	1.14774
42	1.32538	1.35491
24	0.761584	0.763523
3	0.0947777	0.0947775
67	2.35743	2.4418
61	2.04465	2.14346
17	0.539954	0.540375
49	1.55173	1.60844
97	5.92898	5.40953
99	6.35918	5.74049
55	1.78149	1.86705
10	0.316564	0.316578
79	3.30032	3.28967
31	0.97996	0.98692
73	2.77964	2.82739
4	0.126337	0.126337
25	0.789026	0.791585
68	2.45302	2.53317
62	2.10096	2.19438
85	3.97757	3.84504
91	4.82317	4.5155
37	1.16853	1.18608
43	1.36786	1.40465
18	0.568443	0.56892
50	1.60292	1.66501
100	6.5331	5.85542
56	1.82456	1.91167
11	0.347976	0.348021
32	1.01288	1.02131
80	3.41607	3.36937
74	2.87023	2.90902
5	0.15761	0.15761
26	0.825576	0.828713
69	2.49795	2.5708
63	2.14452	2.24858
86	4.12298	3.95085
92	5.01686	4.65766
38	1.20715	1.22678
44	1.4002	1.43802
19	0.602964	0.603466
51	1.63827	1.70912
57	1.87087	1.95816
13	0.413099	0.413128
6	0.189796	0.189801
27	0.851189	0.854211
12	0.380448	0.380558
70	2.56057	2.631
64	2.20005	2.29606
33	1.04618	1.05714
81	3.52234	3.46955
75	2.94543	2.97455
87	4.2233	4.02944
93	5.16133	4.80287
39	1.2426	1.26565
45	1.42	1.4628
20	0.633852	0.634495
52	1.66729	1.73873
58	1.90796	2.00359
7	0.220449	0.22045
28	0.88641	0.890162
14	0.445945	0.446078
82	3.6307	3.54437
34	1.07743	1.0886
76	3.04052	3.05583
88	4.39568	4.18666
94	5.36846	4.95264
40	1.27071	1.29513
46	1.46014	1.50686
21	0.671691	0.672654
